,0,1
255,CTDD_hydrophobicity_PONP930101.1.residue25,785
256,CTDD_hydrophobicity_PONP930101.1.residue50,542
257,CTDD_hydrophobicity_PONP930101.1.residue75,603
258,CTDD_hydrophobicity_PONP930101.1.residue100,551
259,CTDD_hydrophobicity_PONP930101.2.residue0,522
260,CTDD_hydrophobicity_PONP930101.2.residue25,514
261,CTDD_hydrophobicity_PONP930101.2.residue50,342
262,CTDD_hydrophobicity_PONP930101.2.residue75,564
263,CTDD_hydrophobicity_PONP930101.2.residue100,785
264,CTDD_hydrophobicity_PONP930101.3.residue0,568
265,CTDD_hydrophobicity_PONP930101.3.residue25,477
266,CTDD_hydrophobicity_PONP930101.3.residue50,704
267,CTDD_hydrophobicity_PONP930101.3.residue75,612
268,CTDD_hydrophobicity_PONP930101.3.residue100,503
269,CTDD_hydrophobicity_CASG920101.1.residue0,682
270,CTDD_hydrophobicity_CASG920101.1.residue25,731
271,CTDD_hydrophobicity_CASG920101.1.residue50,689
272,CTDD_hydrophobicity_CASG920101.1.residue75,536
273,CTDD_hydrophobicity_CASG920101.1.residue100,804
274,CTDD_hydrophobicity_CASG920101.2.residue0,59
275,CTDD_hydrophobicity_CASG920101.2.residue25,94
276,CTDD_hydrophobicity_CASG920101.2.residue50,280
277,CTDD_hydrophobicity_CASG920101.2.residue75,458
278,CTDD_hydrophobicity_CASG920101.2.residue100,142
279,CTDD_hydrophobicity_CASG920101.3.residue0,617
280,CTDD_hydrophobicity_CASG920101.3.residue25,504
281,CTDD_hydrophobicity_CASG920101.3.residue50,666
282,CTDD_hydrophobicity_CASG920101.3.residue75,572
283,CTDD_hydrophobicity_CASG920101.3.residue100,667
284,CTDD_hydrophobicity_ENGD860101.1.residue0,615
285,CTDD_hydrophobicity_ENGD860101.1.residue25,679
286,CTDD_hydrophobicity_ENGD860101.1.residue50,227
287,CTDD_hydrophobicity_ENGD860101.1.residue75,569
288,CTDD_hydrophobicity_ENGD860101.1.residue100,595
289,CTDD_hydrophobicity_ENGD860101.2.residue0,395
290,CTDD_hydrophobicity_ENGD860101.2.residue25,212
291,CTDD_hydrophobicity_ENGD860101.2.residue50,362
292,CTDD_hydrophobicity_ENGD860101.2.residue75,269
293,CTDD_hydrophobicity_ENGD860101.2.residue100,579
294,CTDD_hydrophobicity_ENGD860101.3.residue0,171
295,CTDD_hydrophobicity_ENGD860101.3.residue25,202
296,CTDD_hydrophobicity_ENGD860101.3.residue50,706
297,CTDD_hydrophobicity_ENGD860101.3.residue75,712
298,CTDD_hydrophobicity_ENGD860101.3.residue100,585
299,CTDD_hydrophobicity_FASG890101.1.residue0,835
300,CTDD_hydrophobicity_FASG890101.1.residue25,693
301,CTDD_hydrophobicity_FASG890101.1.residue50,618
302,CTDD_hydrophobicity_FASG890101.1.residue75,555
303,CTDD_hydrophobicity_FASG890101.1.residue100,640
304,CTDD_hydrophobicity_FASG890101.2.residue0,123
305,CTDD_hydrophobicity_FASG890101.2.residue25,112
306,CTDD_hydrophobicity_FASG890101.2.residue50,154
307,CTDD_hydrophobicity_FASG890101.2.residue75,254
308,CTDD_hydrophobicity_FASG890101.2.residue100,345
309,CTDD_hydrophobicity_FASG890101.3.residue0,309
310,CTDD_hydrophobicity_FASG890101.3.residue25,635
311,CTDD_hydrophobicity_FASG890101.3.residue50,779
312,CTDD_hydrophobicity_FASG890101.3.residue75,519
313,CTDD_hydrophobicity_FASG890101.3.residue100,589
314,CTDD_normwaalsvolume.1.residue0,416
315,CTDD_normwaalsvolume.1.residue25,632
316,CTDD_normwaalsvolume.1.residue50,418
317,CTDD_normwaalsvolume.1.residue75,252
318,CTDD_normwaalsvolume.1.residue100,663
319,CTDD_normwaalsvolume.2.residue0,548
320,CTDD_normwaalsvolume.2.residue25,467
321,CTDD_normwaalsvolume.2.residue50,375
322,CTDD_normwaalsvolume.2.residue75,466
323,CTDD_normwaalsvolume.2.residue100,675
324,CTDD_normwaalsvolume.3.residue0,682
325,CTDD_normwaalsvolume.3.residue25,552
326,CTDD_normwaalsvolume.3.residue50,454
327,CTDD_normwaalsvolume.3.residue75,385
328,CTDD_normwaalsvolume.3.residue100,670
329,CTDD_polarity.1.residue0,698
330,CTDD_polarity.1.residue25,636
331,CTDD_polarity.1.residue50,658
332,CTDD_polarity.1.residue75,316
333,CTDD_polarity.1.residue100,584
334,CTDD_polarity.2.residue0,575
335,CTDD_polarity.2.residue25,656
336,CTDD_polarity.2.residue50,399
337,CTDD_polarity.2.residue75,402
338,CTDD_polarity.2.residue100,695
339,CTDD_polarity.3.residue0,753
340,CTDD_polarity.3.residue25,813
341,CTDD_polarity.3.residue50,588
342,CTDD_polarity.3.residue75,758
343,CTDD_polarity.3.residue100,523
344,CTDD_polarizability.1.residue0,337
345,CTDD_polarizability.1.residue25,516
346,CTDD_polarizability.1.residue50,344
347,CTDD_polarizability.1.residue75,95
348,CTDD_polarizability.1.residue100,828
349,CTDD_polarizability.2.residue0,850
350,CTDD_polarizability.2.residue25,780
351,CTDD_polarizability.2.residue50,664
352,CTDD_polarizability.2.residue75,574
353,CTDD_polarizability.2.residue100,730
354,CTDD_polarizability.3.residue0,572
355,CTDD_polarizability.3.residue25,577
356,CTDD_polarizability.3.residue50,428
357,CTDD_polarizability.3.residue75,451
358,CTDD_polarizability.3.residue100,676
359,CTDD_charge.1.residue0,642
360,CTDD_charge.1.residue25,506
361,CTDD_charge.1.residue50,792
362,CTDD_charge.1.residue75,763
363,CTDD_charge.1.residue100,809
364,CTDD_charge.2.residue0,1044
365,CTDD_charge.2.residue25,274
366,CTDD_charge.2.residue50,775
367,CTDD_charge.2.residue75,540
368,CTDD_charge.2.residue100,1373
369,CTDD_charge.3.residue0,701
370,CTDD_charge.3.residue25,755
371,CTDD_charge.3.residue50,735
372,CTDD_charge.3.residue75,596
373,CTDD_charge.3.residue100,472
374,CTDD_secondarystruct.1.residue0,554
375,CTDD_secondarystruct.1.residue25,637
376,CTDD_secondarystruct.1.residue50,546
377,CTDD_secondarystruct.1.residue75,669
378,CTDD_secondarystruct.1.residue100,709
379,CTDD_secondarystruct.2.residue0,472
380,CTDD_secondarystruct.2.residue25,502
381,CTDD_secondarystruct.2.residue50,624
382,CTDD_secondarystruct.2.residue75,541
383,CTDD_secondarystruct.2.residue100,671
384,CTDD_secondarystruct.3.residue0,490
385,CTDD_secondarystruct.3.residue25,560
386,CTDD_secondarystruct.3.residue50,587
387,CTDD_secondarystruct.3.residue75,532
388,CTDD_secondarystruct.3.residue100,414
389,CTDD_solventaccess.1.residue0,429
390,CTDD_solventaccess.1.residue25,383
391,CTDD_solventaccess.1.residue50,446
392,CTDD_solventaccess.1.residue75,688
393,CTDD_solventaccess.1.residue100,577
394,CTDD_solventaccess.2.residue0,764
395,CTDD_solventaccess.2.residue25,749
396,CTDD_solventaccess.2.residue50,427
397,CTDD_solventaccess.2.residue75,660
398,CTDD_solventaccess.2.residue100,521
399,CTDD_solventaccess.3.residue0,542
400,CTDD_solventaccess.3.residue25,599
401,CTDD_solventaccess.3.residue50,653
402,CTDD_solventaccess.3.residue75,783
403,CTDD_solventaccess.3.residue100,623
404,CTDT_hydrophobicity_PRAM900101.Tr1221,462
405,CTDT_hydrophobicity_PRAM900101.Tr1331,686
406,CTDT_hydrophobicity_PRAM900101.Tr2332,387
407,CTDT_hydrophobicity_ARGP820101.Tr1221,135
408,CTDT_hydrophobicity_ARGP820101.Tr1331,766
409,CTDT_hydrophobicity_ARGP820101.Tr2332,338
410,CTDT_hydrophobicity_ZIMJ680101.Tr1221,187
411,CTDT_hydrophobicity_ZIMJ680101.Tr1331,437
412,CTDT_hydrophobicity_ZIMJ680101.Tr2332,721
413,CTDT_hydrophobicity_PONP930101.Tr1221,463
414,CTDT_hydrophobicity_PONP930101.Tr1331,349
415,CTDT_hydrophobicity_PONP930101.Tr2332,120
416,CTDT_hydrophobicity_CASG920101.Tr1221,12
417,CTDT_hydrophobicity_CASG920101.Tr1331,35
418,CTDT_hydrophobicity_CASG920101.Tr2332,823
419,CTDT_hydrophobicity_ENGD860101.Tr1221,727
420,CTDT_hydrophobicity_ENGD860101.Tr1331,452
421,CTDT_hydrophobicity_ENGD860101.Tr2332,770
422,CTDT_hydrophobicity_FASG890101.Tr1221,347
423,CTDT_hydrophobicity_FASG890101.Tr1331,260
424,CTDT_hydrophobicity_FASG890101.Tr2332,200
425,CTDT_normwaalsvolume.Tr1221,459
426,CTDT_normwaalsvolume.Tr1331,655
427,CTDT_normwaalsvolume.Tr2332,44
428,CTDT_polarity.Tr1221,600
429,CTDT_polarity.Tr1331,506
430,CTDT_polarity.Tr2332,603
431,CTDT_polarizability.Tr1221,729
432,CTDT_polarizability.Tr1331,886
433,CTDT_polarizability.Tr2332,380
434,CTDT_charge.Tr1221,661
435,CTDT_charge.Tr1331,1092
436,CTDT_charge.Tr2332,172
437,CTDT_secondarystruct.Tr1221,508
438,CTDT_secondarystruct.Tr1331,737
439,CTDT_secondarystruct.Tr2332,336
440,CTDT_solventaccess.Tr1221,610
441,CTDT_solventaccess.Tr1331,283
442,CTDT_solventaccess.Tr2332,722
443,CTriad_g1.g1.g1,2349
444,CTriad_g1.g1.g2,982
445,CTriad_g1.g1.g3,3114
446,CTriad_g1.g1.g4,3114
447,CTriad_g1.g1.g5,2323
448,CTriad_g1.g1.g6,2283
449,CTriad_g1.g1.g7,3637
450,CTriad_g1.g2.g1,1909
451,CTriad_g1.g2.g2,1492
452,CTriad_g1.g2.g3,1990
453,CTriad_g1.g2.g4,1679
454,CTriad_g1.g2.g5,2523
455,CTriad_g1.g2.g6,2140
456,CTriad_g1.g2.g7,2816
457,CTriad_g1.g3.g1,1868
458,CTriad_g1.g3.g2,1256
459,CTriad_g1.g3.g3,1285
460,CTriad_g1.g3.g4,2699
461,CTriad_g1.g3.g5,2102
462,CTriad_g1.g3.g6,3808
463,CTriad_g1.g3.g7,1107
464,CTriad_g1.g4.g1,2818
465,CTriad_g1.g4.g2,992
466,CTriad_g1.g4.g3,2145
467,CTriad_g1.g4.g4,3486
468,CTriad_g1.g4.g5,1936
469,CTriad_g1.g4.g6,1953
470,CTriad_g1.g4.g7,2611
471,CTriad_g1.g5.g1,2867
472,CTriad_g1.g5.g2,1255
473,CTriad_g1.g5.g3,2278
474,CTriad_g1.g5.g4,2811
475,CTriad_g1.g5.g5,1875
476,CTriad_g1.g5.g6,1405
477,CTriad_g1.g5.g7,4077
478,CTriad_g1.g6.g1,4077
479,CTriad_g1.g6.g2,1531
480,CTriad_g1.g6.g3,2191
481,CTriad_g1.g6.g4,2127
482,CTriad_g1.g6.g5,2337
483,CTriad_g1.g6.g6,1953
484,CTriad_g1.g6.g7,4077
485,CTriad_g1.g7.g1,3007
486,CTriad_g1.g7.g2,1440
487,CTriad_g1.g7.g3,2892
488,CTriad_g1.g7.g4,1869
489,CTriad_g1.g7.g5,3168
490,CTriad_g1.g7.g6,4077
491,CTriad_g1.g7.g7,4077
492,CTriad_g2.g1.g1,882
493,CTriad_g2.g1.g2,1855
494,CTriad_g2.g1.g3,1513
495,CTriad_g2.g1.g4,2783
496,CTriad_g2.g1.g5,2324
497,CTriad_g2.g1.g6,1231
498,CTriad_g2.g1.g7,4077
499,CTriad_g2.g2.g1,524
500,CTriad_g2.g2.g2,1578
501,CTriad_g2.g2.g3,1955
502,CTriad_g2.g2.g4,1890
503,CTriad_g2.g2.g5,631
504,CTriad_g2.g2.g6,1148
505,CTriad_g2.g2.g7,3431
506,CTriad_g2.g3.g1,1246
507,CTriad_g2.g3.g2,940
508,CTriad_g2.g3.g3,2020
509,CTriad_g2.g3.g4,2436
510,CTriad_g2.g3.g5,2220
511,CTriad_g2.g3.g6,2317
512,CTriad_g2.g3.g7,3637
