,0,1
287,CTDD_hydrophobicity_ENGD860101.1.residue75,736
288,CTDD_hydrophobicity_ENGD860101.1.residue100,340
289,CTDD_hydrophobicity_ENGD860101.2.residue0,704
290,CTDD_hydrophobicity_ENGD860101.2.residue25,307
291,CTDD_hydrophobicity_ENGD860101.2.residue50,287
292,CTDD_hydrophobicity_ENGD860101.2.residue75,465
293,CTDD_hydrophobicity_ENGD860101.2.residue100,960
294,CTDD_hydrophobicity_ENGD860101.3.residue0,217
295,CTDD_hydrophobicity_ENGD860101.3.residue25,150
296,CTDD_hydrophobicity_ENGD860101.3.residue50,774
297,CTDD_hydrophobicity_ENGD860101.3.residue75,542
298,CTDD_hydrophobicity_ENGD860101.3.residue100,870
299,CTDD_hydrophobicity_FASG890101.1.residue0,892
300,CTDD_hydrophobicity_FASG890101.1.residue25,965
301,CTDD_hydrophobicity_FASG890101.1.residue50,792
302,CTDD_hydrophobicity_FASG890101.1.residue75,655
303,CTDD_hydrophobicity_FASG890101.1.residue100,145
304,CTDD_hydrophobicity_FASG890101.2.residue0,146
305,CTDD_hydrophobicity_FASG890101.2.residue25,152
306,CTDD_hydrophobicity_FASG890101.2.residue50,100
307,CTDD_hydrophobicity_FASG890101.2.residue75,216
308,CTDD_hydrophobicity_FASG890101.2.residue100,479
309,CTDD_hydrophobicity_FASG890101.3.residue0,277
310,CTDD_hydrophobicity_FASG890101.3.residue25,449
311,CTDD_hydrophobicity_FASG890101.3.residue50,383
312,CTDD_hydrophobicity_FASG890101.3.residue75,444
313,CTDD_hydrophobicity_FASG890101.3.residue100,580
314,CTDD_normwaalsvolume.1.residue0,506
315,CTDD_normwaalsvolume.1.residue25,372
316,CTDD_normwaalsvolume.1.residue50,690
317,CTDD_normwaalsvolume.1.residue75,263
318,CTDD_normwaalsvolume.1.residue100,915
319,CTDD_normwaalsvolume.2.residue0,356
320,CTDD_normwaalsvolume.2.residue25,460
321,CTDD_normwaalsvolume.2.residue50,523
322,CTDD_normwaalsvolume.2.residue75,520
323,CTDD_normwaalsvolume.2.residue100,877
324,CTDD_normwaalsvolume.3.residue0,759
325,CTDD_normwaalsvolume.3.residue25,516
326,CTDD_normwaalsvolume.3.residue50,894
327,CTDD_normwaalsvolume.3.residue75,213
328,CTDD_normwaalsvolume.3.residue100,316
329,CTDD_polarity.1.residue0,816
330,CTDD_polarity.1.residue25,673
331,CTDD_polarity.1.residue50,785
